RAND40499	17q21.31 deletion syndrome
RAND50507	left vertebral artery thrombosis with stroke
RAND83112	levoatrial cardinal vein
RAND99294	levoatrial cardinal vein (disorder)
RAND23874	liver arteriovenous malformation
RAND53507	lt cerebral hemisphere cva
RAND24196	lymphangiectasies and lymphedema hennekam type
RAND23740	maffucci syndrome (disorder)
RAND60254	maffucci's anomalad
RAND43893	maffucci's syndrome
RAND85457	maffuci's syndrome
RAND74447	malformation, arteriovenous
RAND82736	malformation, cerebral arteriovenous
RAND46570	malformation, intracranial arteriovenous
RAND13740	malformations vein, galen
RAND98199	malformations veins, galen
RAND89678	malformations, arteriovenous
RAND59656	malformations, cerebral arteriovenous
RAND95741	malformations, intracranial arteriovenous
RAND77865	malig neo brain nec
RAND38455	malig neo brain nos
RAND47759	malig neop brain nos
RAND61569	malig neop cerebrum nos
RAND24731	malig neop oth part brain nos
RAND18795	malig neop oth parts of brain
RAND32399	malignant brain neoplasm
RAND42947	malignant brain neoplasms
RAND69826	malignant brain tumor
RAND85157	malignant brain tumour
RAND29292	malignant brain tumour (disorder)
RAND12254	malignant cerebral tumor
RAND46857	malignant cerebral tumour
RAND90122	malignant neopl brain
RAND83691	malignant neoplasm of brain
RAND87234	malignant neoplasm of brain, unspecified
RAND88496	malignant neoplasm of cerebrum
RAND28673	malignant neoplasm of other parts of brain
RAND84650	malignant neoplasm of brain
RAND58014	malignant neoplasms ofbrain
RAND35549	malignant primary brain neoplasms
RAND29227	malignant primary brain tumors
RAND92334	mass of hypothalamus
RAND68144	massive osteolyses
RAND96226	melas
RAND60985	melas - mitochondrial encephalopathy, lactic acidosis and stroke-like episodes
RAND22738	melas - mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes
RAND33098	meningioma of brain
RAND14837	meningioma of optic nerve sheath
RAND17948	meningioma optic nerve sheath
RAND45399	meningioma, intracranial
RAND53863	meningiomas, intracranial
RAND61795	meningitis
RAND86385	meningo oculo facial angiomatosis
RAND59844	meningo-oculo-facial angiomatosis
RAND95386	meningofacial angiomatosis-cerebral calcification syndrome
RAND60839	migraine-induced stroke
RAND58308	mitochondrial diseases
RAND33186	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes
RAND64276	mitochondrial encephalopathy, lactic acidosis and stroke-like episodes
RAND32588	mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes
RAND64850	mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes (disorder)
RAND92547	mitochondrial myopathy, lactic acidosis, stroke-like episode
RAND88208	multiple angiomas and endochondromas
RAND97304	multiple enchondromata with haemangioma
RAND23279	multiple enchondromata with hemangioma
RAND47968	multiple enchondromatosis, maffucci type
RAND59439	myopathy, mitochondrial-encephalopathy-lactic acidosis-stroke
RAND43609	neonatal cerebral infarction
RAND55957	neonatal stroke
RAND33969	neoplasm of brain stem
RAND49859	neoplasm of cerebellum
RAND77522	neoplasm of cerebral meninges
RAND63223	neoplasm of cerebral ventricle
RAND52344	neoplasm of cerebrum
RAND96307	neoplasm of cerebrum (disorder)
RAND44078	neoplasm of optic nerve and sheath
RAND84564	neoplasm of pineal gland
RAND51605	neoplasm of uncertain behavior nos
RAND63625	neoplasm of uncertain behavior of brain
RAND86308	neoplasm of uncertain behavior of brain, nos
RAND39108	neoplasm of uncertain behaviour nos
RAND10237	neoplasm of uncertain behaviour of brain
RAND56065	neoplasm of uncertain or unknown behavior of brain, unspecified
RAND13947	neoplasm of brain stem
RAND85245	neoplasm of brain ventricular
RAND70050	neoplasm of brainstem
RAND52559	neoplasm of cerebellar
RAND56358	neoplasm of cerebral ventricle
RAND12348	neoplasm of cerebroventricular
RAND17671	neoplasm of intraventricular
RAND36073	neoplasm of pineal
RAND34949	neoplasm, uncertain whether benign or malignant
RAND52658	neoplasms of uncertain behaviour
RAND55796	neoplasms of brain stem
RAND28722	neoplasms of brain ventricular
RAND80732	benign neoplasms of brain
RAND16940	malignant neoplasms of brain
RAND99153	neoplasms of brainstem
RAND40471	cerebellar neoplasms
RAND87821	neoplasms of cerebral ventricle
RAND25854	cerebroventricular neoplasms
RAND64558	intraventricular neoplasms
RAND28329	pineal neoplasms
RAND76516	neoplasms, ventricular, brain
RAND50542	neoplastic disease of uncertain behaviour
RAND27710	nervous system, central
RAND60365	nervous systems, central
RAND73403	neurocytoma
RAND30329	neurocytoma -retired-
RAND61220	neurocytomas
RAND43303	neuroepitheliomatous neoplasm
RAND76644	neuroepitheliomatous tum brain
RAND17385	neuroepitheliomatous tumor of brain
RAND80230	neuroepitheliomatous tumour of brain
RAND64041	neuronal and mixed neuronal - glial tumor of brain
RAND27000	neuronal and mixed neuronal - glial tumour of brain
RAND95189	neuronal and mixed neuronal-glial tumor
RAND45508	neuronal and mixed neuronal-glial tumor (morphologic abnormality)
RAND13814	neuronal and mixed neuronal-glial tumour
RAND87675	neuronal+mix neuron-glial tum
RAND82674	neuroretinoangiomatosis
RAND48797	nonparalytic stroke
RAND44871	nonpyogenic cerebral venous thrombosis with stroke
RAND17348	nontraumatic ruptured cerebral aneurysm
RAND12184	occlusion of cerebral arteries
RAND95824	occlusion of cerebral artery
RAND12411	occlusive stroke
RAND59710	opt chiasm w pituit dis
RAND50140	optic nerve sheath meningioma
RAND15950	optic nerve sheath neopl
RAND51485	optic nerve sheath neoplasm
RAND57010	optic nerve sheath tumors
RAND92544	opticociliary shunt vessels
RAND74629	opticociliary vessels
RAND62487	osteolyses, massive
RAND31270	osteolysis and angiomatous naevi
RAND85522	osteolysis and angiomatous nevi
RAND21767	paralytic stroke
RAND77550	paralytic stroke, nos
RAND68917	parenchymal hemorrhage, cerebral
RAND83709	parenchymal hemorrhages, cerebral
RAND10533	parkes-weber syndrome
RAND95662	part anom pulm ven conn
RAND26902	part anom pulm vn connection
RAND71692	partial anomalous pulmonary venous connection
RAND78130	partial anomalous pulmonary venous connection (disorder)
RAND21737	partial anomalous pulmonary venous return
RAND10674	partial unroofed coron sinus
RAND60856	partially unroofed coronary sinus
RAND15794	perin hypox - ischaem encephal
RAND88468	perinatal anoxic-ischaemic brain injury
RAND21625	perinatal anoxic-ischemic brain injury
RAND64758	perinatal hypoxic - ischaemic encephalopathy
RAND32794	perinatal hypoxic - ischemic encephalopathy
RAND86305	periph arteriovenous malformat
RAND71962	peripheral arterio-venous malformation
RAND88694	peripheral arteriovenous malformation
RAND31971	peripheral venous malformation
RAND81365	phakomatosis, sturge-weber
RAND71431	phantom bone disease
RAND80536	pineal gland neoplasm
RAND18605	pineal gland tumor
RAND48368	pineal gland tumors
RAND46307	pineal neoplasm
RAND54578	pineal neoplasms
RAND35262	pineal parenchymal tumor
RAND24158	pineal parenchymal tumors
RAND29375	pineal tumors
RAND60836	pineal tumour
RAND65733	pinealoma
RAND81025	pinealomas
RAND75894	pkws
RAND44752	porencephalic cyst
RAND50979	primary malignant brain neopl
RAND42071	primary malignant brain neoplasms
RAND53110	primary malignant brain tumors
RAND98670	primary malignant neoplasm of brain
RAND95430	primary malignant neoplasm of brain (disorder)
RAND55899	progressing stroke
RAND12409	prominent eustachian valve
RAND68584	prominent valve inf vena cava
RAND56673	prominent valve of inferior vena cava
RAND99860	prominent valve of inferior vena cava (disorder)
RAND18648	pulmonary vein abnormality
RAND15077	pulmonary venous return anomaly
RAND43744	pv - pulmonary vein abnormality
RAND48092	rasmussen syndrome
RAND51363	rbs
RAND59456	remnants of valves of sinus venosus
RAND94935	renal arteriovenous malformation
RAND46273	retinal arteriovenous anomaly
RAND75123	retinal arteriovenous malformation
RAND33814	retinal arteriovenous malformation (disorder)
RAND76084	retinal cirsoid aneurysm
RAND60791	retinociliary vein
RAND79801	retroaortic brachiocephalic vein
RAND17613	right sided cerebral hemisphere cerebrovascular accident
RAND25975	right sided cva
RAND34926	right vertebral artery embolism with stroke
RAND55791	robert's syndrome
RAND59545	rupture of blood vessel in brain
RAND69987	rupture of cerebral arteriovenous malformation
RAND86796	ruptured aneurysm of intracranial artery
RAND35823	ruptured cerebr arterven malf
RAND32712	ruptured cerebral aneurysm
RAND18660	ruptured cerebral arteriovenous malformation
RAND86969	schizencephaly
RAND79992	spinal arteriovenous malformat
RAND76207	spinal arteriovenous malformation
RAND31837	splenoportal vascular anomaly
RAND78404	spongy venous malformation
RAND90394	stroke - intracerebral haem'ge
RAND70033	stroke and cerebrovascular accident unspecified
RAND37418	stroke and migraine
RAND97637	stroke co-occurrent with migraine
RAND15815	stroke due to basilar artery thrombus
RAND40705	stroke due to cerebral arterial occlusion
RAND44348	stroke due to intracerebral haemorrhage
RAND30773	stroke due to intracerebral hemorrhage
RAND19318	stroke due to occlusion of left anterior cerebral artery
RAND81754	stroke due to occlusion of left posterior communicating artery
RAND53712	stroke due to occlusion of right anterior cerebral artery
RAND10875	stroke due to occlusion of right posterior communicating artery
RAND79718	stroke due to thrombus of left carotid artery
RAND99991	stroke due to thrombus of left middle cerebral artery
RAND26219	stroke due to thrombus of right carotid artery
RAND98259	stroke due to thrombus of right cerebellar artery
RAND28563	stroke due to thrombus of right middle cerebral artery
RAND67917	stroke due to thrombus of right posterior cerebral artery
RAND96871	stroke due to thrombus of right vertebral artery
RAND70691	stroke in the puerperium
RAND54125	stroke in the puerperium (disorder)
RAND80579	stroke nos
RAND88427	stroke of uncertain pathology
RAND30996	stroke unspecified
RAND74495	stroke, cerebral
RAND16573	stroke, cerebrovascular
RAND46657	stroke, lacunar
RAND89103	stroke-in-evolution syndrome
RAND46635	strokes
RAND89541	strokes, cerebral
RAND96022	strokes, cerebrovascular
RAND57805	strokes, lacunar
RAND85218	structure of central nervous system
RAND67336	structures of the central nervous system
RAND61309	sturge disease
RAND88018	sturge kalischer weber syndrome
RAND89539	sturge syndrome
RAND82181	sturge weber dimitri syndrome
RAND68444	sturge weber krabbe syndrome
RAND28123	sturge weber syndrome
RAND89191	sturge's syndrome
RAND96799	sturge-weber disease
RAND68870	sturge-weber phakomatosis
RAND25485	sturge-weber sequence
RAND17210	sturge-weber-krabbe syndrome
RAND35996	subdivided left atrium
RAND40283	subdivided left atriums
RAND62088	supernumerary azygos vein
RAND69752	sws
RAND42377	angio-osteohypertrophy syndrome
RAND43059	sturge syndrome
RAND73376	sturge-kalischer-weber syndrome
RAND10350	sturge-weber syndrome
RAND39210	sturge-weber-dimitri syndrome
RAND44622	total anomalous pulmonary venous connection
RAND71460	total anomalous pulmonary venous drainage
RAND81312	tetraphocomelia-cleft palate syndrome
RAND70635	thromboses, cerebral
RAND20062	thrombosis cerebral
RAND30500	thrombosis cerebral arterial
RAND98341	thrombosis of cerebral arteries
RAND99675	thrombosis of cerebral artery
RAND94621	cerebral thrombosis
RAND80864	thrombotic stroke
RAND77685	total anomalous pulmonary venous connection
RAND22811	traumatic brain injury
RAND89365	truncal arteriovenous fistula
RAND73075	tumor of optic nerve and sheath
RAND92842	tumor of pineal gland
RAND82955	brain stem tumor
RAND27131	brain ventricular tumor
RAND41953	cerebellar tumor
RAND80464	tumor of the cerebral ventricle
RAND77197	focal traumatic brain injury
RAND23225	post traumatic damage to the right frontal lobe
RAND40804	post traumatic damage to the left frontal lobe
RAND27475	tumors, brain ventricular
RAND52189	tumors, cerebral ventricle
RAND95269	glial cells tumors
RAND53226	tumors, pineal
RAND30554	pineal gland tumors
RAND74712	pineal parenchymal tumors
RAND24619	tumour of optic nerve and sheath
RAND42256	tumour of pineal gland
RAND64071	tumour of the optic nerve and sheath
RAND76104	unclassified tumour, borderline malignancy
RAND94606	unilateral segmental cavernous haemangioma
RAND72552	unilateral segmental cavernous hemangioma
RAND52644	unspecified cerebrovascular disease
RAND21573	vascular accident of the brain
RAND35601	vascular brain accidents
RAND41861	vascular disease, intracranial
RAND58031	intracranial vascular diseases
RAND94344	vascular disorder, brain
RAND32247	intracranial vascular disorder
RAND39973	vascular brain disorders
RAND87013	intracranial vascular disorders intracranial
RAND28365	vein of galen malformation
RAND24711	vein of galen malformations
RAND27515	venous anomaly of umbilical cord
RAND46030	venous duct abnormality
RAND28727	venous malformation
RAND67929	venous malformation
RAND23960	venous malformations
RAND52180	venous remnant
RAND16056	venous valvular anomaly
RAND47630	venous-lymphatic malformation
RAND91752	ventricle tumor, cerebral
RAND90225	ventricle tumors, cerebral
RAND39957	severe traumatic brain injury
RAND45831	ventricular neoplasm of the brain
RAND63619	ventricular neoplasms of th brain
RAND51788	ventricular tumor  of the brain
RAND27949	ventricular tumors of the brain
RAND47573	viral encephalitis
RAND56185	encephalitis
RAND11636	Dysembryoplastic neuroepithelial tumor
RAND21054	DNET
RAND57996	DNT
RAND53359	microcephaly
RAND43718	Microcephaly
RAND72487	micro-cephaly
RAND23129	head injury other
RAND29013	head injury
RAND47831	head injuries
RAND58510	open head injury
RAND18101	Multiple Head Injuries
RAND91910	Superficial Head Injury
RAND94461	Skull Fractures
RAND37044	Skull Fracture
RAND73799	Unspecified brain damage due to birth injury
RAND52762	brain injury at birth
RAND12410	traumatic brain injury at birth
RAND31816	hippocampal sclerosis
RAND49376	mesial temporal lobe sclerosis
RAND21542	cortical dysplasia
RAND83581	Respiratory distress in neonatal period
RAND59002	birth asphyxia
RAND43568	neonatal asphyxia
RAND71776	asphyxia at birth
RAND50103	Birth trauma, asphyxia and hypoxia
RAND13333	fetal distress
RAND78233	birth injury
RAND88452	birth trauma
RAND71042	perinatal insult
RAND72892	perinatal injury
RAND88944	injury in the perinatal period
RAND53364	traumatic birth history
RAND95002	neonatal complicaions
RAND38380	neonatal intensive care
RAND35596	intracranial hemorrhage
RAND68974	intracranial haemorrhage
RAND33707	intracranial bleeding
RAND97536	intracranial bleed
RAND52009	Victim of vehicular AND/OR traffic accident
RAND69238	road traffic accident
RAND23883	RTA
RAND77794	subarachnoid hemorrhage
RAND61382	subarachnoid haemorrhage
RAND19393	neurofibromatosis 1
RAND20848	NF1
RAND94541	neurofibromatosis
RAND21478	neurofibromatosis 2
RAND81894	intracerebral haemorrhage
RAND64250	cerebral haemorrhage
RAND62371	intracerebral bleed
RAND77977	intracerebral bleeds
RAND86114	cerebral bleed
RAND56811	ICH
RAND10694	bleeding in brain
RAND69773	hydrocephalus
RAND43770	cerebral abscess
RAND42014	brain abscess
RAND49777	depression
RAND52737	tic
RAND42989	tic disorder unspecified
RAND61581	alcohol withdrawal-induced seizure
RAND90832	neuronal heterotopia
RAND42962	gray matter heterotopia
RAND33513	heterotopic grey matter
RAND42421	neoplasm of temporal lobe
RAND18629	malignant neoplasm of temporal lobe of brain
RAND75677	neoplasm
RAND61426	neoplasms
RAND62081	lesion of brain
RAND63472	bran lesion
RAND47940	mass lesion of temporal lobe on left
RAND76322	left temporal lobe lesion
RAND84496	mass lesion of temporal lobe on right
RAND45410	right temporal lobe lesion
RAND90430	mass lesion of temporal lobe
RAND55481	temporal lobe lesion
RAND96547	temporal structural lesion
RAND42635	benigh brain lesion
RAND66509	autistic spectrum disorder
RAND25003	autism
RAND26214	learning difficulties
RAND34741	behavioral disability
RAND26399	behavioral disabilities
RAND35846	behavior disorders
RAND46596	behavioural disorders
RAND77772	behavior disturbance
RAND56856	behavioural disturbance
RAND84761	SCBU
RAND88748	special care baby unit
RAND63370	gliosis
RAND90900	obsessive compulsive disorder
RAND38102	obsessive-compulsive disorder
RAND23069	craniotomy
RAND80127	removal of intracranial tumour
RAND39186	removal of brain tumour
RAND71628	brain tumour operation
RAND47216	astrocytoma surgery
RAND66912	meningioma surgery
RAND66011	astrocytoma of brain
RAND12493	brain astrocytoma
RAND31970	right hemiplegia
RAND85150	right-sided hemiplegia
RAND71300	right sided hemiplegia
RAND49987	left hemiplegia
RAND53151	left-sided hemiplegia
RAND94051	left sided hemiplegia
RAND81306	spastic hemiplegia
RAND65539	Charcot-Marie-Tooth Disease
RAND65566	epithelial cyst
RAND22434	epidermal cyst
RAND95756	epidermoid cyst
RAND60174	Epidermoid cyst excision
RAND67457	excision of epidermoid cyst
RAND26867	epidermoid cyst resected
RAND78488	epidermoid cyst removed
RAND70146	tumor debulking
RAND23535	de-bulking
RAND68685	debulking
RAND27242	Epidermoid tumor
RAND61893	epidermoid tumour
RAND23039	Charcot-Marie Tooth Disease
RAND43414	Charcot Marie Tooth Disease
RAND23185	Thrombocytopenia
RAND23021	Visual Impairment
RAND53187	Impaired vision
RAND71982	hypothyroidism
RAND73618	hypoparathyroidism
RAND27877	postural tremor
RAND56569	static tremor
RAND83463	nystagmus
RAND58170	hemiparesis
RAND99427	psychotic episodes
RAND85838	cavernoma
RAND60391	cavernous hemangioma
RAND21974	lobectomy of brain
RAND82045	excision of brain lobe
RAND17356	resection of brain lobe
RAND97075	brain lobectomy
RAND99527	Post-traumatic stress disorder
RAND99549	Post traumatic stress disorder
RAND59282	PTSD
RAND51573	syncope
RAND86762	vasovagal syncope
RAND48567	myocardial infarction
RAND40079	MI
RAND56416	myocardial infarct
RAND30543	heart attack
RAND71230	cardiac infarction
RAND61159	dissociative convulsions
RAND47668	pseudoseizures
RAND50837	chronic headache
RAND45599	alcohol abuse
RAND93645	history of alcohol abuse
RAND27088	diabetes
RAND95767	attention deficit hyperactivity disorder
RAND92429	adhd
RAND38936	attention deficit disorder
RAND42256	mental disorders
RAND49988	mental illness
RAND78916	mental health disorder
RAND81647	psychiatric illness
RAND77096	schizophrenia
RAND57485	drug abuse
RAND46235	infarct
RAND66904	myoclonic epilepsy
RAND31153	post traumatic epilepsy
RAND38487	post-traumatic epilepsy
RAND97780	ataxia, dentate cerebellar
RAND23991	ataxias, dentate cerebellar
RAND13857	atrophies, dentate cerebellar
RAND70577	atrophy, dentate cerebellar
RAND35548	cerebellar ataxias, dentate
RAND22769	cerebellar atrophy, dentate
RAND31542	cerebellar dyssynergia
RAND20191	cerebellar dyssynergia, myoclonic
RAND64553	cerebellar dyssynergias
RAND97170	cerebellar dyssynergias, myoclonic
RAND43722	dentate cerebellar ataxias
RAND70444	dentate cerebellar atrophies
RAND87491	dentate cerebellar atrophy
RAND58571	dentate nucleus syndrome, ramsay hunt
RAND93852	dentato-rubral atrophy syndrome
RAND61688	dyssynerg cerebellar myoclon
RAND61939	dyssynergia, cerebellar
RAND39833	dyssynergia, myoclonic cerebellar
RAND60247	dyssynergias, cerebellar
RAND56233	dyssynergias, myoclonic cerebellar
RAND49891	early cerebl atax & myoclonus
RAND78547	early onset cerebellar ataxia with myoclonus
RAND75468	early-onset cerebellar ataxia with myoclonus [hunt's ataxia]
RAND21110	hunt's disease
RAND19616	myoclonic cerebellar dyssynergia
RAND15522	myoclonic cerebellar dyssynergias
RAND62921	progressive cerebellar tremor
RAND62076	ramsay hunt cerebellar syndrome
RAND21011	ramsay hunt dentate syndrome
RAND44477	ramsay hunt syndrome - ataxia
RAND18419	ramsay hunt syndrome 1
RAND70134	ramsay hunt's syndrome 2
RAND14657	attack - epileptic
RAND64288	epilectic attack, nos
RAND84941	epilepsies
RAND23547	epilepsy
RAND17940	epilepsy, unspecified
RAND50558	epileptic
RAND71575	epileptic attack
RAND89117	epileptic convulsions
RAND43396	epileptic disorder
RAND21402	epileptic fit
RAND12172	epileptic fits
RAND54129	epileptic seizure
RAND22234	epileptic seizures
RAND32315	seizure disorders
RAND91713	epilepsies, focal
RAND39782	epilepsies, localization-related
RAND36482	epilepsies, partial
RAND29245	epilepsy, localization-related
RAND77050	epilepsy, partial
RAND87579	focal epilepsies
RAND81632	focal epilepsy
RAND61652	local epilepsy
RAND55491	localisation related epilepsy
RAND74447	localisation-related epilepsy
RAND12457	localisation-related epilepsy
RAND25397	localization-related epilepsies
RAND19175	partial epilepsy
RAND67104	epilepsy, generalized
RAND32053	generalised epilepsy
RAND59010	generalised seizure disorder
RAND14004	generalized epilepsies
RAND82756	grand mal epilepsy 
RAND37673	major epilepsies
RAND85449	major motor seizure disorder
RAND13675	major motor seizure disorder
RAND39674	syndromes, tonic-clonic seizure
RAND92692	tonic clonic convulsion syndrome
RAND91611	tonic clonic seizure syndrome
RAND28853	tonic-clonic convulsion syndrome
RAND83735	tonic-clonic convulsion syndrome
RAND21316	tonic-clonic convulsion syndrome
RAND56756	tonic-clonic convulsion syndromes
RAND42846	tonic-clonic convulsion syndromes
RAND66006	tonic-clonic epilepsies
RAND99083	tonic-clonic epilepsies
RAND97911	tonic-clonic epilepsy
RAND20841	tonic-clonic epileptic seizures
RAND81298	tonic-clonic seizure disorder
RAND59455	tonic-clonic seizure disorder
RAND26367	tonic-clonic seizure syndrome
RAND93125	tonic-clonic seizure syndrome
RAND27875	tonic-clonic seizure syndrome
RAND16889	tonic-clonic seizure syndromes
RAND74217	absence epilepsy
RAND39156	absence seizure disorder
RAND24085	epilepsy, absence
RAND91476	petit mal epilepsies
RAND10306	petit mal epilepsy
RAND26253	petit mal epilepsy
RAND13827	petit-mal seizure
RAND95815	focal epilepsy - temporal
RAND63895	temporal lobe epilepsy
RAND93699	temporal lobe seizure
RAND55734	temporal lobe seizures
RAND29538	epilepsy, post-traumatic
RAND60422	epilepsy, traumatic
RAND17337	post traumatic epilepsy
RAND74145	post traumatic epilepsytraumatic
RAND50880	post traumatic seizure dis
RAND63988	post traumatic seizure disorder
RAND31552	post-traumatic epilepsies
RAND71628	post-traumatic seizure disorder
RAND86909	seizure disorders, post-traumatic
RAND53378	traumatic epilepsies
RAND15684	traumatic epilepsies
RAND58899	focal motor
RAND25566	focal motor epilepsy
RAND20583	focal motor seizure
RAND98968	focal motor seizures
RAND58480	motor partial seizure disorder
RAND41730	motor seizure disorder
RAND64638	partial motor attacks
RAND60197	partial motor epilepsy
RAND96497	partial motor epilepsy
RAND71205	simple partial seizure with motor dysfunction
RAND82191	simple partial seizures with motor signs
RAND22150	myoclonus, intention
RAND54388	Jacksonian seizure
RAND94957	disorder characterised by myoclonus
RAND96025	disorder characterized by myoclonus
RAND36093	jerk, myoclonic
RAND39625	jerking, myoclonic
RAND29829	jerks - myoclonic
RAND81426	jerks, myoclonic
RAND91231	myoclonic disorder
RAND53311	myoclonus disorder
RAND81106	myoclonus nos
RAND56673	myoclonus, palatal
RAND23313	palatal nystagmus
RAND61360	paramyoclonus multiplex
RAND81582	Cerebroatrophic hyperammonaemia
RAND88374	Cerebroatrophic hyperammonemia
RAND96148	rett syndrome
RAND73611	seizure
RAND57340	seizures
RAND92683	hypsarrhythmia
RAND90122	infant spasms - hypsarrythmia
RAND83894	infantile spasm
RAND81553	infantile spasms - hypsarrhythmia
RAND14644	infantile spasms - hypsarrythmia
RAND51713	lightning attack
RAND55916	lightning attacks
RAND67221	lightning spasms
RAND28945	spasms, infantile
RAND91429	syndrome, west
RAND26163	west syndrome
RAND13897	West's syndrome
RAND43685	generalized status epilepticus
RAND29977	status epilepticus 
RAND24556	status epilepticus, generalized
RAND54302	status epilepticus, unspecified
RAND84308	sturge-weber syndrome
RAND89211	complex partial epilepsy
RAND89332	complex partial epileptic seizure
RAND54778	complex partial seizure disorder
RAND75141	epilepsy, complex partial
RAND63776	partial epilepsy, complex
RAND59492	Epilepsy, Frontal Lobe
RAND52117	Frontal Lobe Epilepsies
RAND31823	frontal lobe epilepsy
RAND23921	frontal lobe seizure
RAND51159	frontal lobe seizures
RAND94271	epilepsia partialis continua [kozhevnikof]
RAND43744	epilepsies, kojevnikov's
RAND46016	epilepsy, kojevnikov's
RAND15764	epilepsy, kojewnikov's
RAND87820	focal status epilepticus
RAND96960	kojevnikov's epilepsies
RAND42071	kojewnikov epilepsy
RAND66955	kojewnikow syndrome
RAND22198	kojewnikow's syndrome
RAND25128	kozhevnikov syndrome
RAND78511	kozhevnikov's syndrome
RAND25741	motor simple partial status
RAND72659	atonic epilepsies
RAND77178	atonic epilepsy
RAND96772	epilepsies, atonic
RAND89219	epilepsy, atonic
RAND83662	epileptic seizures - atonic
RAND95468	epileptic seizures - atonic (finding)
RAND41807	epilepsies, tonic
RAND38302	epilepsy, tonic
RAND13635	epileptic seizures - tonic
RAND64584	epileptic seizures - tonic (finding)
RAND84329	epileptic seizures, tonic
RAND51805	tonic epilepsies
RAND12268	tonic epilepsy
RAND66711	Complex Partial Seizure
RAND98736	Complex Partial Seizures
RAND83209	Partial complex seizure
RAND35680	Psychomotor fit
RAND93505	convulsions in newborn
RAND57827	convulsions in the newborn 
RAND92976	convulsions neonatal
RAND94053	convulsions of newborn
RAND45237	fits in newborn
RAND79053	fits in the newborn
RAND28328	neonatal convulsions
RAND51447	neonatal seizures
RAND35415	seizures in newborn
RAND91381	seizures in the newborn
RAND84149	angelman syndrome
RAND72955	Happy puppet syndrome
RAND68322	fukuhara disease
RAND67556	merff syndrome
RAND27300	merrf - myoclonic epilepsy - ragged red fibers
RAND23527	myoclonic epilepsy - ragged red fibres
RAND42326	myoclonic epilepsy and ragged red fibers
RAND68498	myoclonic epilepsy associated with ragged red fibers
RAND59182	myoclonic epilepsy with ragged red fibers
RAND31394	myoclonus with epilepsy and with ragged red fibers (merrf syndrome)
RAND50435	myoclonus with epilepsy with ragged red fibers
RAND28220	myoencephalopathy ragged red fiber disease
RAND38605	hyperekplexia
RAND84696	hyperekplexias
RAND51811	hyperexplexia
RAND70134	hyperexplexia (finding)
RAND96039	startle syndrome
RAND92875	generalised convulsion
RAND93559	generalised fit
RAND54045	generalised seizure
RAND65465	generalized convulsion
RAND91958	generalized convulsion, nos
RAND45918	generalized fit
RAND44482	generalized seizure (finding)
RAND19740	Generalized-onset seizure
RAND71982	seizure, generalized
RAND44115	epilepsy, partial, without impairment of consciousness
RAND23517	partial epilepsy without impairment of consciousness
RAND73073	partial epilepsy without mention of impairment of consciousness
RAND67492	partial seizures, simple"
RAND33434	partial seizures, simple, consciousness preserved
RAND44835	simple partial seizure
RAND64072	simple partial seizure, consciousness not impaired
RAND87319	simple partial seizures
RAND92147	simple partial seizures with consciousness preserved
RAND47572	lennox gastaut syndrome
RAND54548	lennox gastaut syndromes
RAND54857	lennox-gastat syndrome
RAND86340	Lennox-Gastaut syndrome
RAND12008	dysphonia of palatopharyngolaryngeal myoclonus
RAND21348	ring chromosome 20
RAND99342	cherry red spot myoclonus syndrome
RAND24503	cherry red spot-myoclonus syndrome
RAND94381	cherry-red spot myoclonus synd
RAND64381	deficiencies, glycoprotein neuraminidase
RAND91473	deficiency, glycoprotein neuraminidase
RAND19482	glycoprotein neuraminidase deficiency
RAND97684	mucolipidosis type 1
RAND44495	myoclonus cherry red spot syndrome
RAND68803	myoclonus-cherry red spot syndrome
RAND91479	neuraminidase deficiency
RAND67311	normosomatic sialidosis
RAND74333	sialidase deficiency
RAND44399	sialidosis
RAND52810	sialidosis, type 1
RAND93054	type I mucolipidoses
RAND43501	type i mucolipidosis
RAND62036	essential myoclonus
RAND79784	familial essential myoclonus
RAND50090	cursive (running) epilepsy
RAND73605	cursive reflex epilepsy - running
RAND21385	cursive seizure
RAND46223	epilepsies, cursive
RAND58853	epilepsy, cursive reflex (running)
RAND95710	epilepsy, running"
RAND24941	reflex epilepsy, cursive (running)
RAND31868	running epilepsy
RAND92015	epilepsies, gelastic
RAND28769	epilepsy, gelastic
RAND55921	gelastic epilepsies
RAND70516	gelastic seizure
RAND71555	retropulsion absence
RAND15664	retropulsion petit mal
RAND26277	centrencephalic absence
RAND28670	centrencephalic epilepsy
RAND72758	absence status
RAND48339	epilepsia minoris continua
RAND43002	epileptic absence status
RAND91129	epileptic confusional state
RAND98419	non-convulsive status epilepticus wth impaired consciousness
RAND15955	petit mal status epilepticus
RAND91170	petit mal status, epileptic
RAND84588	petit-mal status
RAND90605	prolonged epileptic twilight state
RAND30047	spike wave stupor
RAND12719	status pyknolepticus
RAND22345	status, absence
RAND39906	status, petit mal
RAND87018	epilepsy, visual
RAND43156	seizure, visual
RAND63964	visual epilepsy
RAND32663	visual seizures
RAND47850	visual seizures 
RAND75204	epilepsy, visceral
RAND11479	visceral epilepsy
